year,bpld,agg educd,perwt
1980,canada,BA or More,2540.0
1980,canada,Less than HS,3600.0
1980,canada,Some College,3280.0
1980,st. pierre and miquelon,Less than HS,20.0
1980,bermuda,Some College,20.0
1980,cape verde,Less than HS,40.0
1980,falkland islands,BA or More,20.0
1980,"north america, ns",Less than HS,40.0
1980,mexico,BA or More,4540.0
1980,mexico,Less than HS,250240.0
1980,mexico,Some College,16120.0
1980,belize/british honduras,BA or More,60.0
1980,belize/british honduras,Less than HS,1040.0
1980,belize/british honduras,Some College,160.0
1980,costa rica,BA or More,140.0
1980,costa rica,Less than HS,780.0
1980,costa rica,Some College,240.0
1980,el salvador,BA or More,680.0
1980,el salvador,Less than HS,23480.0
1980,el salvador,Some College,3020.0
1980,guatemala,BA or More,400.0
1980,guatemala,Less than HS,10100.0
1980,guatemala,Some College,900.0
1980,honduras,BA or More,100.0
1980,honduras,Less than HS,1320.0
1980,honduras,Some College,140.0
1980,nicaragua,BA or More,400.0
1980,nicaragua,Less than HS,3160.0
1980,nicaragua,Some College,1140.0
1980,panama,BA or More,220.0
1980,panama,Less than HS,740.0
1980,panama,Some College,420.0
1980,"central america, ns",BA or More,40.0
1980,"central america, ns",Less than HS,760.0
1980,"central america, ns",Some College,120.0
1980,cuba,BA or More,140.0
1980,cuba,Less than HS,1100.0
1980,cuba,Some College,180.0
1980,dominican republic,Less than HS,200.0
1980,dominican republic,Some College,40.0
1980,haiti,BA or More,20.0
1980,haiti,Less than HS,120.0
1980,haiti,Some College,60.0
1980,jamaica,BA or More,140.0
1980,jamaica,Less than HS,840.0
1980,jamaica,Some College,420.0
1980,antigua-barbuda,Less than HS,40.0
1980,bahamas,BA or More,40.0
1980,bahamas,Less than HS,20.0
1980,barbados,Less than HS,40.0
1980,barbados,Some College,20.0
1980,tortola,Less than HS,20.0
1980,tortola,Some College,20.0
1980,cayman islands,BA or More,20.0
1980,dominica,Less than HS,40.0
1980,grenada,BA or More,20.0
1980,grenada,Less than HS,80.0
1980,trinidad and tobago,BA or More,120.0
1980,trinidad and tobago,Less than HS,200.0
1980,trinidad and tobago,Some College,180.0
1980,curacao,Some College,20.0
1980,guadeloupe,Less than HS,20.0
1980,"caribbean, ns",BA or More,60.0
1980,"caribbean, ns",Less than HS,160.0
1980,"caribbean, ns",Some College,160.0
1980,"latin america, ns",Less than HS,20.0
1980,argentina,BA or More,600.0
1980,argentina,Less than HS,1980.0
1980,argentina,Some College,860.0
1980,bolivia,BA or More,160.0
1980,bolivia,Less than HS,260.0
1980,bolivia,Some College,240.0
1980,brazil,BA or More,420.0
1980,brazil,Less than HS,420.0
1980,brazil,Some College,660.0
1980,chile,BA or More,580.0
1980,chile,Less than HS,1060.0
1980,chile,Some College,680.0
1980,colombia,BA or More,360.0
1980,colombia,Less than HS,1180.0
1980,colombia,Some College,720.0
1980,ecuador,BA or More,160.0
1980,ecuador,Less than HS,1300.0
1980,ecuador,Some College,760.0
1980,guyana/british guiana,BA or More,120.0
1980,guyana/british guiana,Less than HS,500.0
1980,guyana/british guiana,Some College,200.0
1980,paraguay,BA or More,20.0
1980,paraguay,Less than HS,20.0
1980,paraguay,Some College,20.0
1980,peru,BA or More,360.0
1980,peru,Less than HS,2060.0
1980,peru,Some College,1040.0
1980,suriname,Some College,20.0
1980,uruguay,BA or More,100.0
1980,uruguay,Less than HS,280.0
1980,uruguay,Some College,40.0
1980,venezuela,BA or More,440.0
1980,venezuela,Less than HS,400.0
1980,venezuela,Some College,560.0
1980,"south america, ns",BA or More,60.0
1980,"south america, ns",Less than HS,200.0
1980,"south america, ns",Some College,120.0
1980,denmark,BA or More,160.0
1980,denmark,Less than HS,200.0
1980,denmark,Some College,160.0
1980,finland,BA or More,120.0
1980,finland,Less than HS,80.0
1980,finland,Some College,40.0
1980,iceland,BA or More,20.0
1980,iceland,Less than HS,80.0
1980,iceland,Some College,60.0
1980,norway,BA or More,120.0
1980,norway,Less than HS,40.0
1980,norway,Some College,280.0
